Name;Symbol;Holdings;Market Price;Value;Stake
Amazon.com, Inc.;AMZN;533,3;$3,272.71;$1,745,336,243;0.1%
American Express Company;AXP;151,610,700;$104.91;$15,905,478,537;18.8%
Apple Inc.;AAPL;1,003,466,264;$119.02;$119,432,554,741;5.9%
Axalta Coating Systems Ltd;AXTA;23,535,041;$25.64;$603,438,451;10.0%
Bank of America Corp;BAC;1,032,852,006;$24.24;$25,036,332,625;11.9%
Bank of New York Mellon Corp;BK;74,346,864;$38.02;$2,826,667,769;8.4%
Barrick Gold Corp;GOLD;20,918,701;$27.57;$576,728,587;1.2%
Biogen Inc;BIIB;643,022;$280.01;$180,052,590;0.4%
Charter Communications Inc;CHTR;5,213,461;$633.92;$3,304,917,197;2.5%
Coca-Cola Co;KO;400,000,000;$50.03;$20,012,000,000;9.3%
Costco Wholesale Corporation;COST;4,333,363;$381.54;$1,653,351,319;1.0%
DaVita Inc;DVA;36,095,570;$90.78;$3,276,755,845;28.6%
General Motors Company;GM;74,681,000;$33.45;$2,498,079,450;5.2%
Globe Life Inc;GL;6,353,727;$83.24;$528,884,235;6.0%
Johnson & Johnson;JNJ;327,1;$148.10;$48,443,510;0.0%
JPMorgan Chase & Co.;JPM;22,208,427;$101.51;$2,254,377,425;0.7%
Kraft Heinz Co;KHC;325,634,818;$32.16;$10,472,415,747;26.6%
Kroger Co;KR;21,940,079;$34.07;$747,498,492;2.8%
Liberty Global PLC Class A;LBTYA;18,010,000;$21.81;$392,798,100;9.9%
Liberty Global PLC Class C;LBTYK;7,346,968;$21.57;$158,474,100;1.8%
Liberty Latin America Ltd Class A;LILA;2,630,792;$10.16;$26,728,847;5.2%
Liberty Latin America Ltd Class C;LILAK;1,284,020;$10.09;$12,955,762;0.8%
Liberty Sirius XM Group Series A;LSXMA;14,860,360;$34.39;$511,047,780;14.7%
Liberty Sirius XM Group Series C;LSXMK;43,208,291;$34.28;$1,481,180,215;18.6%
M&T Bank Corporation;MTB;4,536,174;$100.11;$454,116,379;3.5%
Mastercard Inc;MA;4,564,756;$339.40;$1,549,278,186;0.5%
MONDELEZ INTERNATIONAL INC Common Stock;MDLZ;578;$57.97;$33,506,660;0.0%
Moody’s Corporation;MCO;24,669,778;$289.06;$7,131,046,029;13.1%
PNC Financial Services Group Inc;PNC;5,350,586;$111.48;$596,483,327;1.3%
Procter & Gamble Co;PG;315,4;$144.39;$45,540,606;0.0%
Restoration Hardware Holdings, Inc common stock;RH;1,708,348;$385.30;$658,226,484;8.8%
Sirius XM Holdings Inc;SIRI;50,000,000;$5.84;$292,000,000;1.2%
Snowflake Inc;SNOW;6,125,376;$242.52;$1,485,526,188;2.2%
SPDR S&P 500 ETF Trust;SPY;39,4;$347.29;$13,683,226;0.0%
StoneCo Ltd;STNE;14,166,748;$57.90;$820,254,709;4.6%
Store Capital Corp;STOR;24,415,168;$27.14;$662,627,660;9.6%
Suncor Energy Inc.;SU;19,201,525;$11.88;$228,114,117;1.3%
Synchrony Financial;SYF;20,128,000;$29.38;$591,360,640;3.4%
Teva Pharmaceutical Industries Ltd;TEVA;42,789,295;$9.41;$402,647,266;3.9%
U.S. Bancorp;USB;149,590,275;$39.14;$5,854,963,364;9.9%
United Parcel Service, Inc.;UPS;59,4;$174.44;$10,361,736;0.0%
Vanguard 500 Index Fund ETF;VOO;43;$318.99;$13,716,570;0.0%
Verisign, Inc.;VRSN;12,815,613;$207.34;$2,657,189,199;11.2%
Visa Inc;V;9,987,460;$200.26;$2,000,088,740;0.5%
Wells Fargo & Co;WFC;136,340,848;$22.86;$3,116,751,785;3.3%
TOTAL; ; ; ;$242,303,980,438;
